City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Bindi,SL,9.9167,-11.45,73.62,89,82,5.91,broken clouds
300,Lewistown,US,40.5992,-77.5714,73.4,1,40,4.61,haze
301,Rio Gallegos,AR,-51.6226,-69.2181,46.4,57,0,26.46,clear sky
302,Khatanga,RU,71.9667,102.5,32.5,93,100,5.21,overcast clouds
303,Abha,SA,18.2164,42.5053,60.8,55,0,5.95,clear sky
304,Kasongo-Lunda,CD,-6.4667,16.8167,69.4,96,58,1.12,light rain
305,Vila,PT,42.0304,-8.1588,48.99,82,81,1.01,broken clouds
306,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,79.77,63,54,4.5,broken clouds
307,Carauari,BR,-4.8828,-66.8958,74.84,93,99,2.42,overcast clouds
308,Lagoa,PT,39.05,-27.9833,62.11,89,96,12.46,overcast clouds
309,Maragogi,BR,-9.0122,-35.2225,76.66,82,33,3.31,scattered clouds
310,Fort Nelson,CA,58.8053,-122.7002,48.2,81,75,3.44,broken clouds
311,Klaksvik,FO,62.2266,-6.589,35.6,80,20,23.02,few clouds
312,Cassilandia,BR,-19.1133,-51.7342,69.35,31,6,1.25,clear sky
313,Smolenka,RU,52.1352,113.4974,39.2,48,1,2.24,clear sky
314,Pirajui,BR,-21.9986,-49.4572,80.6,41,0,1.14,clear sky
315,Guerrero Negro,MX,27.9769,-114.0611,67.78,61,1,16.44,clear sky
316,Rovaniemi,FI,66.5,25.7167,28.4,50,0,10.36,clear sky
317,Atar,MR,20.5169,-13.0499,82.47,18,4,11.68,clear sky
318,Abu Zabad,SD,12.35,29.25,81.7,50,99,6.78,overcast clouds
319,Mastic Beach,US,40.7668,-72.8521,59.0,77,1,5.75,clear sky
320,Mount Gambier,AU,-37.8333,140.7667,53.6,87,75,6.91,broken clouds
321,Zhangye,CN,38.9342,100.4517,54.01,9,18,0.87,few clouds
322,Diego De Almagro,CL,-26.3667,-70.05,58.41,51,0,2.01,clear sky
323,Isangel,VU,-19.55,169.2667,80.6,78,20,5.75,few clouds
324,Estancia,BR,-11.2683,-37.4383,73.4,94,75,4.61,broken clouds
325,Codrington,AU,-38.2667,141.9667,58.17,71,62,8.41,broken clouds
326,Udachnyy,RU,66.4167,112.4,32.83,90,100,3.2,overcast clouds
327,Kaspiysk,RU,42.8816,47.6392,57.2,77,40,29.08,scattered clouds
328,Sinnamary,GF,5.3833,-52.95,77.85,84,62,6.96,broken clouds
329,Cerrito,CO,6.8432,-72.694,69.8,100,40,3.44,scattered clouds
330,Telimele,GN,10.9167,-13.3333,73.17,73,98,3.58,overcast clouds
331,Ampanihy,MG,-24.7,44.75,66.51,73,52,7.45,broken clouds
332,Lasa,IT,46.6166,10.7002,52.0,81,75,6.91,broken clouds
333,Aden,YE,12.7794,45.0367,84.11,76,72,10.83,broken clouds
334,Nisia Floresta,BR,-6.0911,-35.2086,75.2,94,75,2.3,broken clouds
335,San Patricio,US,28.017,-97.5169,86.0,62,90,13.8,overcast clouds
336,Beloha,MG,-25.1667,45.05,65.48,79,6,7.85,clear sky
337,Cavalcante,BR,-13.7975,-47.4583,67.28,64,28,1.99,scattered clouds
338,Gumla,IN,23.05,84.55,69.06,69,38,4.32,scattered clouds
339,Penzance,GB,50.1186,-5.5371,45.0,70,20,26.73,few clouds
340,Aklavik,CA,68.2191,-135.0107,26.6,68,75,6.91,broken clouds
341,Namtsy,RU,62.7161,129.6658,42.8,56,0,8.95,clear sky
342,Saint Marys,US,30.7305,-81.5465,88.0,100,1,13.8,clear sky
343,Tura,IN,25.5198,90.2201,69.37,86,100,2.86,overcast clouds
344,Geraldton,AU,-28.7667,114.6,62.6,94,75,9.22,broken clouds
345,Qaqortoq,GL,60.7167,-46.0333,48.2,23,75,36.82,broken clouds
346,Bambous Virieux,MU,-20.3428,57.7575,75.99,100,40,3.44,scattered clouds
347,General Roca,AR,-39.0333,-67.5833,50.0,57,0,3.44,clear sky
