City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
617,Takoradi,GH,78.84,overcast clouds,4.8845,-1.7554,Raybow International Hotel
618,Road Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
619,Teseney,ER,85.62,overcast clouds,15.11,36.6575,Sabrin Hotel
620,Iralaya,HN,81.79,few clouds,15.0,-83.2333,Iglesia morava renovada
623,Ranong,TH,75.2,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
627,Ewa Beach,US,84.2,light rain,21.3156,-158.0072,Uncle Junior Robert
629,Basco,PH,81.03,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
631,Morondava,MG,67.12,clear sky,-20.2833,44.2833,La Case Bambou
632,Karwar,IN,80.38,scattered clouds,14.8,74.1333,Netalco Connects
633,Bonthe,SL,80.28,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
634,Jhawarian,PK,74.84,scattered clouds,32.3614,72.6228,Asif Sweet Villas homes
637,Pangkalanbuun,ID,77.83,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
639,Sala,MA,66.0,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
640,Itaporanga,BR,77.99,overcast clouds,-7.3044,-38.1503,Hotel Rainha do Vale
641,Talgram,IN,84.76,overcast clouds,27.05,79.65,SHIVALA MANDIR
644,Waingapu,ID,81.23,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
645,Ocampo,MX,86.0,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
647,Rio Verde De Mato Grosso,BR,76.5,clear sky,-18.9181,-54.8442,Hotel Valência
649,Mecca,SA,83.12,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
652,Kushima,JP,69.8,moderate rain,31.4583,131.2333,Hanaoka
653,Savannah Bight,HN,93.2,broken clouds,16.45,-85.85,Villa on Dunbar Rock
654,Isabela,PH,84.2,scattered clouds,6.7085,121.9711,Isawad Resort
655,Omboue,GA,77.32,moderate rain,-1.5746,9.2618,Hotel Olako
658,Methoni,GR,68.0,scattered clouds,36.8197,21.7049,Methoni Beach Hotel
663,Kalmunai,LK,78.96,overcast clouds,7.4167,81.8167,VS Villa
664,Pasighat,IN,68.23,overcast clouds,28.0667,95.3333,Siang Guest House
665,Sterling,US,68.0,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
666,Taltal,CL,65.08,clear sky,-25.4,-70.4833,Residencial Karime
667,Praia,CV,69.8,few clouds,14.9215,-23.5087,LT Aparthotel
669,Bac Lieu,VN,85.5,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
